id;featured_image;featured_image_content_type;featured_image_url;title;detail;created_by;registered_time;update_time
1;../fake-data/blob/hipster.png;image/png;technologies Computer;hack Tasty internet;../fake-data/blob/hipster.txt;index;2023-05-12T12:08:59;2023-05-13T00:23:23
2;../fake-data/blob/hipster.png;image/png;Small;world-class;../fake-data/blob/hipster.txt;maximize;2023-05-12T13:48:27;2023-05-12T23:06:28
3;../fake-data/blob/hipster.png;image/png;open invoice synthesizing;Investment;../fake-data/blob/hipster.txt;Platinum olive;2023-05-13T06:10:09;2023-05-12T07:54:33
4;../fake-data/blob/hipster.png;image/png;Creative Personal;Lithuanian pixel e-services;../fake-data/blob/hipster.txt;emulation;2023-05-12T22:54:06;2023-05-12T16:31:00
5;../fake-data/blob/hipster.png;image/png;Kenyan Borders;Soft Reverse-engineered;../fake-data/blob/hipster.txt;e-business;2023-05-12T15:05:15;2023-05-13T06:06:22
6;../fake-data/blob/hipster.png;image/png;schemas global Cotton;Wooden world-class Programmable;../fake-data/blob/hipster.txt;Account multimedia multimedia;2023-05-12T08:23:23;2023-05-12T20:07:42
7;../fake-data/blob/hipster.png;image/png;models users Inlet;Up-sized Customer PNG;../fake-data/blob/hipster.txt;Indiana;2023-05-12T11:16:09;2023-05-12T10:29:02
8;../fake-data/blob/hipster.png;image/png;French;Front-line static South;../fake-data/blob/hipster.txt;communities Developer network;2023-05-12T09:08:30;2023-05-12T20:51:47
9;../fake-data/blob/hipster.png;image/png;firewall back-end;Cove Chips Right-sized;../fake-data/blob/hipster.txt;Lodge;2023-05-12T12:53:13;2023-05-13T04:36:38
10;../fake-data/blob/hipster.png;image/png;Branch Keyboard compress;Automotive;../fake-data/blob/hipster.txt;Wyoming;2023-05-13T02:44:12;2023-05-13T00:29:35
